name,pan_like_id,mobile,email,city,dob,source_customer_id,schemes_held,aum
Rajata Jaggi,SQDTK7183Z,9191954198,faraj48@example.com,Panvel,1974-06-03,MF-0212,6,1882016
Daksh Swaminathan,IBERP8515R,5754090034,jairaj83@example.com,Bangalore,2000-08-31,MF-0216,3,330596
Qarin Sawhney,OTUKF2063H,3829657724,rushil16@example.com,Singrauli,1999-03-13,MF-0218,4,529031
Kalpit Sankar,URMAL3934A,0443973597,ekiyarao@example.net,Yamunanagar,1991-10-22,MF-0220,8,1973846
Elijah Chandran,PEWMQ8005Z,0489646528,omkaar87@example.com,Mira-Bhayandar,1964-07-30,MF-0221,7,2129163
Rajata D’Alia,TJFDF7075H,1513422849,vorapranit@example.com,Shahjahanpur,1994-06-09,MF-0223,6,2995154
Jairaj Ramesh,JBFDT5915Q,7490509759,ekantika01@example.net,Tiruchirappalli,1978-03-09,MF-0224,2,2127944
Wriddhish Rastogi,YXZSP1032W,1476492515,erama@example.com,Mysore,1993-12-02,MF-0225,6,2383985
Aachal Bumb,LYLZC8017F,4597794523,hitesh68@example.org,Tenali,1965-10-08,MF-0227,4,1446871
Vansha Sharma,NNXSR6974S,4122031030,rajatayohannan@example.org,Barasat,1994-07-03,MF-0228,6,1468589
Urmi Edwin,QEILM9341K,1674338005,yahvibalay@example.org,Chinsurah,1965-08-25,MF-0231,3,2109877
Charvi Chad,UUVIH0856I,3188485200,dakshasami@example.net,Allahabad,1997-08-31,MF-0235,5,328414
Anjali Krishna,GSCKV6539I,4161284639,sneha43@example.net,Mau,1969-11-25,MF-0243,4,99429
Anmol Mand,OTZTO5319O,5047930361,jgarde@example.org,Amritsar,1986-07-07,MF-0245,6,2797580
Joshua Lad,MRBSR9384I,8706056641,zansi03@example.org,Bidar,1984-01-23,MF-0246,6,2311235
Elijah Sarna,FDCYU1791S,2070496110,gratti@example.net,Muzaffarpur,1998-09-04,MF-0248,6,2032441
Frado Merchant,LCDGN7853V,7766575460,faqid51@example.com,Bally,2001-05-28,MF-0255,6,1217118
Jagat Bora,VMRVQ5083T,3928404456,wvala@example.org,Ambattur,1970-08-14,MF-0256,7,757311
Chandani Nanda,IJVKO9090Z,6361863715,garghemang@example.net,Patna,1996-12-31,MF-0258,8,1164361
Robert Ranganathan,TIUQV0041D,7118372742,goelchaitaly@example.org,Gulbarga,1964-01-18,MF-0262,4,1893744
Jyoti Bassi,XMFGT1364I,4195625257,graja@example.net,Ambala,1986-06-26,MF-0265,5,2915287
Lekha Gaba,GTFOS3645X,6633705024,yug99@example.net,Ahmedabad,1965-10-08,MF-0270,6,2202470
Aarush Shan,HHRSW6209P,7978630505,vedhikaratta@example.net,Karnal,1979-06-19,MF-0274,7,1590602
Laban Warrior,KXMEP7153V,6863341411,jackpillai@example.org,Nadiad,1986-01-07,MF-0276,1,1271425
Riya Subramanian,ZVMVP4233A,9126620157,radha26@example.org,Kochi,1971-03-26,MF-0279,1,1892509
Gaurav Sheth,AHHFH6475F,0999741926,hardiknanda@example.org,Machilipatnam,1996-05-26,MF-0280,8,1002890
Meera Yadav,LITYP8718H,1292087510,gagankunda@example.org,Amravati,1982-11-27,MF-0281,5,620877
Lakshmi Gade,RBSJI6714N,4359892625,farasmadan@example.org,Motihari,1978-07-14,MF-0283,8,216646
Gaurav Patil,RAGYO5423Y,1284971859,bavaonkar@example.com,Bokaro,1975-10-28,MF-0284,3,1962068
Faraj Khatri,FVSJF1290Z,6827788160,vwarrior@example.com,Dehri,1990-09-25,MF-0286,4,1405223
Parth Borde,DBFYK5285X,5381447443,dalajavarma@example.org,Tadipatri,1997-12-17,MF-0287,7,2845584
Falguni Misra,ULZWA5105G,7318826170,xrana@example.com,Haldia,1999-11-22,MF-0288,5,84314
Hemangini Tella,BMVAB0305E,4716392823,pushtiissac@example.com,Ambala,1987-07-10,MF-0290,5,1616611
Jai Barman,GEINV9337T,3820236848,sarinekansh@example.com,Loni,2001-08-12,MF-0293,4,2114222
Bimala Bath,FRIGE9036K,8686694320,varghesetamanna@example.net,Avadi,1998-02-22,MF-0294,3,2312381
Udarsh Bath,OJRIR8340Y,3381059551,umenon@example.org,Raurkela Industrial Township,1970-04-14,MF-0295,1,331764
Ranbir Swaminathan,KLZRM2404M,2163761820,hbail@example.org,Mira-Bhayandar,1971-07-25,MF-0297,8,1585317
Leela Sahota,FIIOY8788F,8931350305,bhasinikshita@example.com,Durg,1980-11-21,MF-0301,5,1506633
Dayamai Guha,RFKKC8303K,0051405468,kai15@example.com,Ambala,1996-03-01,MF-0305,8,1157055
Gunbir Aurora,FGDUK2481S,1495511274,jatinsura@example.org,Baranagar,1978-04-11,MF-0307,6,1629967
Vihaan Chaudhary,YZWOQ2819J,5311060920,vbakshi@example.net,Malda,1988-07-20,MF-0315,4,2418975
Chameli Hari,QDRFJ8364O,9117911244,npathak@example.com,Pallavaram,1995-08-20,MF-0316,3,1147927
Tarak Patla,IOFUS1305I,4731584776,oscar34@example.com,Ballia,1995-07-14,MF-0318,5,48384
Charles Lad,EQVSN0104Y,4229712529,vanyasuri@example.com,Karawal Nagar,1970-07-28,MF-0323,7,1601214
Sneha Varghese,RBKRT3631K,2711307240,alka18@example.org,Chinsurah,1969-12-19,MF-0325,7,1410817
Anya Kara,GOUSR9666F,2354940128,onkarmurty@example.net,Rourkela,1968-11-16,MF-0327,8,2870262
Aarini Sur,WTTVH4570X,1480263257,nparsa@example.net,Jammu,2001-02-21,MF-0329,6,1929803
Pahal Rastogi,TLKBR1449U,3426834414,keyasarkar@example.org,Hajipur,1980-01-29,MF-0332,3,2334879
Yahvi Parmar,AADBJ7567B,1294398529,ramaswamyjeremiah@example.com,Surendranagar Dudhrej,1996-03-01,MF-0333,7,142441
Chatura Chad,MGSKE0415S,0198038287,deepa07@example.net,Raipur,1963-08-04,MF-0334,7,38664
Yug Jayaraman,CZDHT1708Z,2384979162,onkarvaidya@example.net,Fatehpur,1981-10-10,MF-0335,8,497961
Xalak Soni,LUYWA5331E,9410175902,odeol@example.net,Thiruvananthapuram,1971-09-29,MF-0338,6,2928483
Krisha Bobal,TGHFO9128D,0344651241,mohini90@example.net,Ballia,1981-05-11,MF-0340,3,2061242
Yasti Trivedi,LCQUJ9536Y,1398986818,rnadig@example.org,Latur,1975-02-05,MF-0350,5,1233551
Hritik Bath,OCVBS1576W,2298120995,ggoda@example.net,Jalandhar,1970-11-08,MF-0353,6,1927131
Tristan Borde,RDOVG5285R,5061853800,rkannan@example.org,Nandyal,1967-04-19,MF-0356,5,1374194
Mohini Lad,VOCTC0473A,9283199529,xchana@example.net,Nagercoil,1994-05-17,MF-0359,5,686799
Krishna Gala,ALJEE8705A,3318751097,upkaar50@example.org,Anantapuram,1996-09-30,MF-0365,3,306939
Aadi Naik,ZCBQE1028U,8138666754,kalaojas@example.net,Asansol,1997-08-03,MF-0367,7,1494447
Vrishti Krishna,LBXDX1865Q,6398365203,abdulmukherjee@example.com,Arrah,2000-12-05,MF-0368,5,2723734
Anjali Bandi,STQRO4760D,7977278105,karanbutala@example.com,Pimpri-Chinchwad,1980-02-22,MF-0369,5,2916066
Deepa Mahal,DKSFK8515D,1121259020,koshydarika@example.net,Mira-Bhayandar,1974-04-18,MF-0371,1,1023869
Logan Mutti,MLSQS6334C,1759558720,radhapalan@example.net,Dhule,1975-09-10,MF-0372,7,1552650
Aarna Kamdar,HQOLE7401I,9559690515,vnatt@example.net,Gaya,2000-10-24,MF-0373,1,2483581
Liam De,YXJZW5014D,2702324412,kondamitesh@example.net,Kolkata,1981-08-21,MF-0375,5,351440
Harish Sinha,QYDTP8637W,6252654696,obala@example.net,Noida,1976-11-16,MF-0376,6,1658846
Faras Karpe,NTBFV2730Y,6244670462,shrofffitan@example.com,Machilipatnam,1995-12-28,MF-0377,4,381602
Aarna Hora,DDSCH8976F,5095465408,omisha07@example.com,Vadodara,1986-11-06,MF-0379,1,707163
Peter Ratta,WDPLR4085G,9666309329,ubajaj@example.net,Rourkela,1985-09-07,MF-0385,1,204708
Gavin Prabhakar,GMKDX0968U,2735241039,ykhurana@example.org,Orai,1988-11-08,MF-0386,1,1998724
Nathaniel Konda,RRAHE7100Y,6481980770,mugdha87@example.com,Vasai-Virar,1967-01-22,MF-0387,4,1369735
Anika Tailor,GSPTQ2587I,5488471270,lgade@example.org,Avadi,1964-10-17,MF-0393,6,2687333
Tanveer Thakur,PKUUE7411U,0673499601,raksha41@example.com,Srinagar,1974-11-30,MF-0396,1,1844450
Max Dora,JFCPU9493K,8840215573,trivenipathak@example.com,Rampur,1971-11-14,MF-0397,5,1341243
Ganga Bora,HXSVB2957B,9409600356,tanvi39@example.com,Maheshtala,1994-08-24,MF-0399,8,1337151
Atharv Walla,WEUUO9028Q,3426433502,sawhneysathvik@example.com,Amroha,1979-12-06,MF-0400,2,399252
Samesh Rai,GLUHH9112K,1795563318,shanamol@example.org,Bidar,1978-04-01,MF-0401,4,1512093
Nakul Saini,VZZQL2282X,2073465495,singhalbakhshi@example.net,Vellore,1962-09-06,MF-0403,2,70150
Omkaar Dugar,FAEHE1053D,8729047742,sridharwaida@example.net,Cuttack,1970-04-14,MF-0404,3,851030
Wazir Edwin,EEWMO6509K,7379487148,harita78@example.com,Tiruvottiyur,1994-03-21,MF-0406,1,724597
Krish Nagy,GYGTE3892I,1935837490,esarin@example.org,Karaikudi,1980-05-14,MF-0416,4,2775089
Devansh Wagle,MXWLL6233B,1511696667,mukhopadhyayisha@example.org,Nizamabad,1982-08-15,MF-0418,6,2946057
Hemani Chatterjee,LCTXL2959G,7090814415,harishtank@example.org,Pudukkottai,2001-02-11,MF-0420,5,756338
Fitan Swaminathan,JENYT0715F,0803149982,battachavvi@example.com,Nagercoil,2003-01-22,MF-0422,3,1377229
Aarna Sami,ASAAA9434Y,3749060723,vrindabhavsar@example.org,Rourkela,2002-02-24,MF-0424,6,324219
Mitali Mane,QGWHZ8449M,8732807711,fiyazbir@example.org,Tadepalligudem,1976-12-14,MF-0425,7,2701275
Shivansh Nadkarni,VQLWD0902M,6624813235,korpalbhavna@example.net,Asansol,1984-09-15,MF-0426,4,2811442
Dakshesh Choudhury,BNUKU1688U,0213060906,borahanmol@example.net,Aurangabad,1989-01-02,MF-0427,1,783706
Lila Sengupta,WODEJ3794D,3242642506,troy@example.net,Rewa,1966-02-19,MF-0428,3,1409021
Omisha Sharma,XVUQZ7767I,3339395786,edhaliwal@example.org,Dewas,2000-06-10,MF-0429,6,1893301
Charan Iyengar,QYHBL3582C,3692492693,vkorpal@example.org,Satna,1987-06-29,MF-0430,2,1490024
Zaid Comar,IYEYE2710K,9579927079,ekapad22@example.net,Singrauli,2000-12-21,MF-0432,8,1608435
Ronith Nagi,ZFBNL4159A,5438480752,saumya65@example.org,Berhampore,1989-08-25,MF-0433,2,160143
Kabir Chhabra,EJKZP3125X,1005912975,dewanryan@example.net,Gaya,1964-09-01,MF-0435,2,1437467
Rachita Saran,GEUTE2705M,2387367042,mdara@example.org,Mau,1992-07-10,MF-0440,5,363664
Ryan Misra,DDPOO3945K,3804032537,fgandhi@example.com,Kulti,1964-01-20,MF-0448,4,549262
Abdul Ram,LOVRL2604F,7112229907,vohrajyoti@example.net,Gurgaon,1981-06-23,MF-0457,6,1150029
Dhruv Chahal,GPIHB4576K,9237858471,baralvincent@example.org,Dewas,1966-06-30,MF-0458,8,2186363
Nitesh Koshy,ADWBC6534U,0356793279,bhavnatank@example.org,Ghaziabad,1961-12-29,MF-0460,1,1066438
Yatan Ramanathan,IVJQM7497E,1686013477,rissac@example.org,Unnao,1986-10-29,MF-0463,2,1215667
Jagdish Dey,CERGJ2150I,2163090015,okhosla@example.org,Suryapet,1976-03-10,MF-0464,4,948413
Max Bajaj,KZYNI8953N,2199471136,oscarkannan@example.com,Delhi,1971-02-21,MF-0465,7,2172857
Tanay Kata,CJVYN1167W,0843768550,msathe@example.org,Asansol,1991-08-03,MF-0466,5,1797574
Veer Rout,OFNDK4281P,4876230391,jeetshere@example.net,Mangalore,1967-05-10,MF-0469,5,2706849
Lucky Babu,ZDTDX3747N,2603214505,menonisha@example.net,Thane,2001-09-23,MF-0472,8,1259855
Aadi Bhatti,YEODK2047R,1175957498,zinalmallick@example.net,Kamarhati,1996-06-28,MF-0475,2,952198
Manthan Dubey,HJGCI0109J,4559376618,xbandi@example.org,Nellore,1975-10-26,MF-0480,6,2666743
Janaki Chatterjee,OEEJH4488A,1421751887,fiyaz51@example.com,Munger,1996-02-15,MF-0485,4,2928853
Andrew Chadha,KHSIM1225E,0566186323,karanwarda@example.net,Munger,1974-10-24,MF-0486,5,720533
Aishani Nath,NLZFO5129D,4881898484,osha15@example.com,Durgapur,1963-08-29,MF-0489,7,100214
Upasna Patel,KLJYP6814F,2291073228,raghav78@example.org,Chinsurah,1969-12-02,MF-0490,1,2493351
Watika Wadhwa,XSXJA0205K,0732146449,gopal67@example.net,Sambalpur,1974-12-03,MF-0495,7,1258792
Onveer Prasad,GFWKN0826E,6163248889,tanveersen@example.com,Phagwara,1997-06-13,MF-0499,5,1967320
Aashi Lal,CBFNI5822Z,1829716815,ayushman00@example.org,Ludhiana,1964-04-25,MF-0501,8,1160150
Dayita Garde,TCOED9608A,3699879509,bhatamrita@example.org,Katni,1971-10-04,MF-0504,2,1745051
Tanish Chawla,CYSOY4417K,5402635582,singhalkrishna@example.com,Parbhani,1998-08-11,MF-0506,7,643501
Unnati Dasgupta,PLFOR8093M,3265306011,lopa17@example.net,Suryapet,1992-04-29,MF-0508,5,231186
Advaith Goyal,GVXAH3009J,9803657744,kalamanya@example.com,Guntur,1999-08-13,MF-0509,8,389182
Tamanna Bora,XNQVW5312D,8826917768,bina01@example.org,Begusarai,1960-11-07,MF-0512,8,1412394
Finn Hans,EYHDN9500P,1491507628,ddhawan@example.net,Muzaffarnagar,1988-09-07,MF-0518,1,2340399
Falan Atwal,ILGOM2179Q,2985797363,eiravatirege@example.org,Berhampur,1985-10-27,MF-0522,5,2899856
Wazir Pillay,WYYUN0405V,9001248255,lsharma@example.com,Kolhapur,1976-03-02,MF-0527,2,2604147
Amruta Raman,GVZKQ3389F,2857256292,hemalwagle@example.net,Kota,1970-06-21,MF-0528,5,2926384
Gabriel Patla,USDGU3641U,1325936781,chakradev09@example.com,Moradabad,1973-02-08,MF-0530,8,764178
Tanmayi Rajagopal,HEJDM9819U,7045238885,priya60@example.com,Hospet,1984-05-06,MF-0531,5,565538
Jack Nanda,UVECH5130N,8214448896,fdhawan@example.net,Bhusawal,1980-05-22,MF-0533,5,2077519
Rishi Peri,ZNTQK5610M,2970137124,jeevika64@example.org,Indore,1972-01-18,MF-0543,1,387089
Deepa Narayanan,DCLFQ9011D,4004938819,zaid15@example.org,Rohtak,1987-07-02,MF-0549,3,1659941
Waida Kapur,CRHAY1379M,1661237407,virajghosh@example.com,South Dumdum,1969-11-30,MF-0550,6,66767
Yashoda Balasubramanian,TIIKW1864H,5883978570,ladchakradhar@example.com,Imphal,1981-06-17,MF-0552,4,2607402
Pranit Gulati,MZFWP6914Q,2879429688,rbedi@example.org,Berhampur,1992-01-09,MF-0553,3,2834285
Megha Srinivasan,KEBBN2879E,4131935923,vaishnavireddy@example.org,Gaya,2003-10-19,MF-0556,2,831591
Nandini Natarajan,WTFJQ0254H,6503440966,vartyjonathan@example.net,Hindupur,1984-04-26,MF-0557,3,40266
Falak Pradhan,ADBMP9067P,2489420466,fsankar@example.com,Khammam,1995-05-11,MF-0560,2,336250
Rishi Dube,WVUFR7489N,7763342720,egara@example.com,Ahmedabad,1989-06-16,MF-0565,3,1891584
Benjamin Kumer,MYOUU5306I,4935340018,stiwari@example.net,Khandwa,1975-10-30,MF-0566,8,992029
Yoshita Dubey,ELSIE9045G,7246301986,samarkara@example.net,Ujjain,1983-07-31,MF-0568,8,1926912
Tanvi Raval,VVLYC2054E,0066664110,chanaumang@example.com,Amroha,1984-06-19,MF-0571,2,2178142
Benjamin Virk,WMBAJ9058M,8268999626,rachitavenkatesh@example.net,Chittoor,1983-12-01,MF-0572,3,680004
Gaurika Vala,ZTQUU9170X,2185457056,jonathanperi@example.com,Ramgarh,1961-06-06,MF-0575,1,2420271
Tanay Bobal,JWXJQ0450N,3217435748,dwagle@example.com,Bongaigaon,1979-10-17,MF-0579,8,2522042
Sara Hari,TIGMJ9834T,5364628055,chandresh65@example.com,Nagercoil,1964-02-27,MF-0580,1,868711
Nathaniel Jha,CIVXU9209G,7409131117,dharfalguni@example.com,Pali,1963-01-04,MF-0581,2,410867
Ria Nori,FGWCT0740M,7980595031,tarak40@example.org,Delhi,1972-11-03,MF-0583,2,1208106
