name,pan_like_id,mobile,email,city,dob,source_customer_id,holdings,portfolio_value
Praneel Sehgal,MTWQZ9545I,7921717477,januja62@example.net,Anantapur,1980-07-30,EQU-0172,13,4778955
Radhika Oommen,VTKFH8321L,5817246191,fbhat@example.org,Amaravati,2000-05-18,EQU-0174,2,2653889
Bishakha Ramakrishnan,NRUTK9973Y,6519098624,acharyajagrati@example.org,Ludhiana,1970-12-26,EQU-0175,11,807461
Advay Singh,UVAWZ7879S,2094940792,mangatvedhika@example.org,Dibrugarh,1964-01-07,EQU-0178,4,3722182
Chatura Lalla,ZETEV1027W,6674286047,chatterjeeirya@example.com,Thanjavur,1972-07-12,EQU-0180,2,4730534
Gabriel De,SLQSD6921Q,7465421406,alka27@example.org,Kollam,1987-06-28,EQU-0182,7,2805461
Anirudh Sinha,ALODT9032Y,7929111799,znazareth@example.net,Anantapur,1965-12-13,EQU-0186,3,3210155
Isaiah Dixit,QCDPX7722S,6459701082,bobalwahab@example.net,Guntakal,1986-02-22,EQU-0189,15,910585
Rushil Nanda,GPVAM3153Y,1797062397,tanvihari@example.net,Gopalpur,1969-07-13,EQU-0190,5,3819162
Jasmit Peri,TXNIV2818P,7933554864,sneha78@example.net,Nandyal,1991-11-13,EQU-0194,13,1275150
Chakrika Som,UCVSH4929U,0281406937,hayertristan@example.com,Lucknow,1964-04-24,EQU-0198,10,2079524
Robert Swaminathan,DQXZJ5998T,5650455478,ssavant@example.org,Vijayanagaram,1966-10-10,EQU-0199,3,768181
Maanas Johal,ELWYF4785A,4628792326,mittaldaksha@example.com,Rajahmundry,1961-10-25,EQU-0200,1,3295395
Urmi Dash,SPPBH4627W,7195979647,ladnicholas@example.net,Ulhasnagar,1974-09-13,EQU-0201,6,2072710
Tejas Dubey,NSHIT8338J,6711207545,orinder40@example.net,Korba,1966-04-19,EQU-0203,4,417473
Gautam Dhingra,KGXUN4955P,1908334280,speri@example.net,Gandhidham,1990-04-09,EQU-0205,5,1094172
Mugdha Parekh,GRJXD7967G,4773201017,michael49@example.net,Solapur,1989-09-21,EQU-0208,6,2530007
Dominic Mody,IUCDQ1520B,4079056965,jhagayathri@example.com,Rourkela,1987-09-08,EQU-0211,3,613994
Rajata Jaggi,SQDTK7183Z,9191954198,faraj48@example.com,Panvel,1974-06-03,EQU-0212,8,3161875
Samar Sachar,RMPZP4424H,3034778660,ayushkuruvilla@example.com,Kalyan-Dombivli,2003-01-16,EQU-0214,12,3793610
Daksh Swaminathan,IBERP8515R,5754090034,jairaj83@example.com,Bangalore,2000-08-31,EQU-0216,8,1498346
Aadhya Mitra,KCOUZ1343X,0417765612,osha98@example.net,Malda,1991-03-23,EQU-0217,9,2485735
Kalpit Sankar,URMAL3934A,0443973597,ekiyarao@example.net,Yamunanagar,1991-10-22,EQU-0220,11,672141
Lucky Lad,FRVXB1502S,9485625728,chaturakarpe@example.org,Nandyal,1972-02-01,EQU-0222,9,1333586
Jairaj Ramesh,JBFDT5915Q,7490509759,ekantika01@example.net,Tiruchirappalli,1978-03-09,EQU-0224,3,2590276
Wriddhish Rastogi,YXZSP1032W,1476492515,erama@example.com,Mysore,1993-12-02,EQU-0225,2,431361
Pahal Mutti,EHFNP8146W,6024375738,sdeep@example.net,Erode,1997-04-16,EQU-0230,5,3272482
Urmi Edwin,QEILM9341K,1674338005,yahvibalay@example.org,Chinsurah,1965-08-25,EQU-0231,9,3965929
Hardik Dube,MCAXX5521A,7548214565,ikari@example.com,Alappuzha,2000-02-24,EQU-0233,5,4201473
Charvi Chad,UUVIH0856I,3188485200,dakshasami@example.net,Allahabad,1997-08-31,EQU-0235,6,4690770
Imaran Dara,HJHXT5940X,4702296044,dasikshita@example.org,Erode,1981-10-21,EQU-0238,3,2843747
Nikita Gara,BTDTY0952G,2654610339,rcontractor@example.org,Madhyamgram,1984-12-21,EQU-0241,5,4902594
Anmol Mand,OTZTO5319O,5047930361,jgarde@example.org,Amritsar,1986-07-07,EQU-0245,4,4755059
Garima Nayak,KGDYC9465F,0337933756,patiladvaith@example.org,Ludhiana,1985-01-15,EQU-0251,4,2083885
Dhruv Dani,IYSXU2233M,3099384253,ukadakia@example.org,Srikakulam,1963-06-28,EQU-0253,2,3517023
Yashodhara Prasad,UTXHS7872E,7496903337,pavani69@example.org,Rohtak,1984-11-09,EQU-0254,7,4040457
Jagat Bora,VMRVQ5083T,3928404456,wvala@example.org,Ambattur,1970-08-14,EQU-0256,15,354840
Urvi Kaur,UDVYF8987U,6637780529,vpant@example.org,Khandwa,1990-10-22,EQU-0257,5,4814409
Chandani Nanda,IJVKO9090Z,6361863715,garghemang@example.net,Patna,1996-12-31,EQU-0258,8,4607534
Avi Grover,NOSQH3164E,0580256621,ybiswas@example.org,Tiruppur,1974-04-07,EQU-0259,6,1413100
Gopal Ganesh,GUUJO2068M,8661331552,ramachandransimon@example.com,Amritsar,1989-08-02,EQU-0264,11,1041741
Parth Kurian,SYJME6747E,2732300857,leena74@example.net,Alappuzha,1999-07-29,EQU-0269,14,4644014
Lekha Gaba,GTFOS3645X,6633705024,yug99@example.net,Ahmedabad,1965-10-08,EQU-0270,11,1773032
Zarna Gulati,STGIQ6264Y,6119524364,chatterjeeekaraj@example.net,Loni,1978-12-23,EQU-0271,7,3881903
Kavya Grewal,GHCKN2372L,0234679121,malhotradevansh@example.com,Bhimavaram,1970-12-19,EQU-0272,13,2635113
Harrison Andra,YCGNH0409Y,6984775965,jalsarastogi@example.com,Raurkela Industrial Township,1999-01-19,EQU-0273,1,2458291
Robert Dhar,IFYFT8980R,2717833321,etarajagopal@example.com,Bardhaman,1989-12-08,EQU-0275,9,3347214
Laban Warrior,KXMEP7153V,6863341411,jackpillai@example.org,Nadiad,1986-01-07,EQU-0276,12,4617138
Shivansh Kar,TQKBJ0276Z,6756618443,ekiyabhagat@example.net,Berhampore,1989-06-09,EQU-0278,1,3566845
Riya Subramanian,ZVMVP4233A,9126620157,radha26@example.org,Kochi,1971-03-26,EQU-0279,2,896382
Gaurav Sheth,AHHFH6475F,0999741926,hardiknanda@example.org,Machilipatnam,1996-05-26,EQU-0280,1,3424446
Parth Borde,DBFYK5285X,5381447443,dalajavarma@example.org,Tadipatri,1997-12-17,EQU-0287,10,381748
Champak Gopal,NSERM0005G,2475541108,kamya34@example.org,Chandigarh,1999-09-03,EQU-0292,5,4691513
Udarsh Bath,OJRIR8340Y,3381059551,umenon@example.org,Raurkela Industrial Township,1970-04-14,EQU-0295,14,456968
Arjun Karan,PSORY6625R,7213145195,dorapranav@example.com,Ghaziabad,1968-08-12,EQU-0299,9,2354692
Ijaya Chawla,ZTZEY4754A,2526771196,joshua26@example.com,Shimla,1979-04-14,EQU-0300,15,857939
Xavier Kade,STJYU3021B,5019179202,farajarora@example.net,Jalgaon,1994-04-25,EQU-0302,4,1944627
Logan Wable,CYPSA4765S,2009282066,utkarsh62@example.com,Nagaon,1977-03-31,EQU-0303,2,3449720
Theodore Ramanathan,SDEUP2891P,6205634111,khatribaghyawati@example.org,Amritsar,1969-12-16,EQU-0304,14,3689897
Dayamai Guha,RFKKC8303K,0051405468,kai15@example.com,Ambala,1996-03-01,EQU-0305,15,4804530
Baljiwan Mannan,OFTON2271Z,2889857254,ramwilliam@example.org,Jamnagar,1985-07-30,EQU-0306,10,1259566
Ridhi Peri,FRAGC8955Q,9038021462,lipikashere@example.net,Karnal,1981-02-18,EQU-0308,6,3377786
Ikbal Chada,MZVEU2166V,3714708272,raidavid@example.com,Bhalswa Jahangir Pur,1970-01-09,EQU-0309,13,3829488
Arin Sampath,JERZF4421T,6834201654,esubramaniam@example.net,Junagadh,1976-03-29,EQU-0310,2,2297912
Kamala Patla,HSFPD0448A,5586851276,rajataraj@example.com,Anantapuram,1991-07-12,EQU-0312,1,2635934
Chameli Hari,QDRFJ8364O,9117911244,npathak@example.com,Pallavaram,1995-08-20,EQU-0316,2,1452637
Rudra Hegde,RAHHC0770K,9639040907,wallabalveer@example.com,Coimbatore,1981-04-23,EQU-0321,11,4664566
Sneha Varghese,RBKRT3631K,2711307240,alka18@example.org,Chinsurah,1969-12-19,EQU-0325,3,421587
Yadavi Sankar,RXGDP8507Y,3436294897,kothariindrajit@example.org,Meerut,2000-01-07,EQU-0326,2,2220454
Teerth Mandal,TABWQ9107A,4254882142,mannantheodore@example.org,Raichur,1971-07-31,EQU-0331,1,2927946
Pahal Rastogi,TLKBR1449U,3426834414,keyasarkar@example.org,Hajipur,1980-01-29,EQU-0332,4,4378470
Yug Jayaraman,CZDHT1708Z,2384979162,onkarvaidya@example.net,Fatehpur,1981-10-10,EQU-0335,6,1703178
Atharv Nayar,VUNBB4930Y,1864876998,ikhanna@example.org,Panipat,1964-05-25,EQU-0346,14,3127459
Chakrika Nazareth,RXRQQ9609Y,1495427707,varsha83@example.com,Adoni,2001-12-11,EQU-0347,5,2974075
Yashica Sawhney,NUKXR1813A,6420595565,dyaljyoti@example.org,Jalgaon,2000-10-03,EQU-0349,6,4515094
Jack Khosla,WJGEX7651P,9376392836,bhavini55@example.org,Alappuzha,1979-02-28,EQU-0351,14,1114415
Bhavika Naidu,CVUNB6522H,9951542144,bhavyalad@example.net,Ahmednagar,1989-12-16,EQU-0354,11,3054990
Gopal Kanda,UPQBH1467L,5156277963,nilimabhat@example.net,Bhilwara,1990-05-02,EQU-0358,11,3905251
Janaki Wason,TOSZK3286X,6383000818,barkhamitra@example.org,Shahjahanpur,1962-02-13,EQU-0360,5,2014140
Anamika Chad,BAVIM1186J,9639456804,lallaurishilla@example.com,Haldia,1964-09-23,EQU-0361,1,1840306
Zayyan Sabharwal,USKMA4520A,3878753577,sandalfaras@example.com,Ahmedabad,1967-10-07,EQU-0363,8,644150
Ishaan Barad,FIVJA6728Z,4164485959,kamyavenkataraman@example.net,Chittoor,1980-12-31,EQU-0364,2,2678582
Damini Pillai,IPQME9648L,1342491289,urvashi32@example.org,Thrissur,1964-08-26,EQU-0366,8,2995976
Aadi Naik,ZCBQE1028U,8138666754,kalaojas@example.net,Asansol,1997-08-03,EQU-0367,7,2688247
Logan Mutti,MLSQS6334C,1759558720,radhapalan@example.net,Dhule,1975-09-10,EQU-0372,15,2704765
Aarna Kamdar,HQOLE7401I,9559690515,vnatt@example.net,Gaya,2000-10-24,EQU-0373,1,557249
Liam De,YXJZW5014D,2702324412,kondamitesh@example.net,Kolkata,1981-08-21,EQU-0375,5,751263
Faras Karpe,NTBFV2730Y,6244670462,shrofffitan@example.com,Machilipatnam,1995-12-28,EQU-0377,15,3694712
Qarin Kurian,KQTNG1613I,0597364248,bhavanimahajan@example.org,Dhule,1961-06-16,EQU-0381,6,3651435
Kai Maharaj,GOOBT4795U,1949796958,ozaharini@example.com,Raiganj,1967-04-25,EQU-0382,10,696510
Janani Manne,ETCRS4294J,2946430394,januja88@example.com,Tadipatri,2000-03-26,EQU-0389,3,1922211
Kavya Radhakrishnan,LEYAQ7287E,3433249135,viswanathanvedant@example.net,Bharatpur,1989-11-11,EQU-0390,14,2418161
Hardik Narayan,IVIFZ8148D,9833423372,gavin31@example.org,Ghaziabad,1969-10-10,EQU-0391,4,2496076
Hema Yohannan,NTGTU2313X,1493925236,eshanavarty@example.com,Agartala,1970-09-12,EQU-0394,13,3206422
Maanav Mohan,TBKZW5557A,6065274033,nagyprisha@example.com,Proddatur,1985-04-10,EQU-0395,15,1991732
Prisha Randhawa,GXBKB7080C,8749511918,sidhurayaan@example.org,Bally,1981-02-15,EQU-0398,4,1191788
Ganga Bora,HXSVB2957B,9409600356,tanvi39@example.com,Maheshtala,1994-08-24,EQU-0399,3,3821239
Samesh Rai,GLUHH9112K,1795563318,shanamol@example.org,Bidar,1978-04-01,EQU-0401,7,4357211
Luke Kar,NGPOQ1164L,5798894256,rajanchanakya@example.org,Kanpur,1966-12-04,EQU-0405,2,1708850
Wazir Edwin,EEWMO6509K,7379487148,harita78@example.com,Tiruvottiyur,1994-03-21,EQU-0406,15,4864089
Ati Majumdar,QQWFA4856G,3973964178,mbasak@example.org,Ramgarh,1964-10-23,EQU-0411,5,3262965
Nandini Pall,WNIVZ2715O,4116597263,raksha52@example.org,Pune,1965-07-16,EQU-0413,6,4073884
Yashawini Minhas,NSEMF8826F,4258562614,umang70@example.org,Panipat,1961-10-17,EQU-0414,6,1887274
Abha Ratti,VCWGH3351Q,9080512080,ayaan99@example.com,Malegaon,1968-12-05,EQU-0419,6,4811804
Yashoda Prabhakar,LOTUE0317T,7399006314,madhavikari@example.com,Varanasi,1967-06-30,EQU-0423,3,4970834
Aarna Sami,ASAAA9434Y,3749060723,vrindabhavsar@example.org,Rourkela,2002-02-24,EQU-0424,6,3368496
Dakshesh Choudhury,BNUKU1688U,0213060906,borahanmol@example.net,Aurangabad,1989-01-02,EQU-0427,10,2719396
Lila Sengupta,WODEJ3794D,3242642506,troy@example.net,Rewa,1966-02-19,EQU-0428,12,702689
Omisha Sharma,XVUQZ7767I,3339395786,edhaliwal@example.org,Dewas,2000-06-10,EQU-0429,1,2274763
Gunbir Bhattacharyya,VFUWM1000V,3415959775,duttamax@example.org,Kochi,1984-01-21,EQU-0431,1,3287475
Anirudh Mittal,YCSRR6376S,5586652548,fiyaz71@example.net,Danapur,2000-01-19,EQU-0434,5,928497
Kabir Chhabra,EJKZP3125X,1005912975,dewanryan@example.net,Gaya,1964-09-01,EQU-0435,10,4099489
Aarush Sant,YUOHM3301E,7927490728,adyadhawan@example.net,Amravati,1991-07-24,EQU-0436,3,3692336
Janaki Bhatti,WVZEX9457F,7583392056,dsheth@example.com,Ajmer,1993-02-06,EQU-0438,6,82007
Oni Bakshi,ZXABY2562Q,2923106724,kramanathan@example.com,Ambattur,1968-12-28,EQU-0439,14,4079286
Kala Solanki,APNUS1075O,7485953259,zaidsuresh@example.net,Surat,1974-06-05,EQU-0441,13,3384197
Leena Divan,FDMUR9518E,6342507330,ydhingra@example.com,Shivpuri,2003-12-27,EQU-0442,3,3162345
Watika Bhatt,HKTPF1221W,5516517680,gauravjohal@example.com,Bhiwandi,1994-03-13,EQU-0445,6,4592003
Mekhala Kala,SRJXG2809Y,3945354614,ljayaraman@example.org,Munger,1996-01-15,EQU-0447,15,341323
Warda Reddy,QIVWP5619D,8205829582,abumb@example.org,Saharsa,1965-03-15,EQU-0452,3,1293189
Azaan Merchant,EQCHB1321W,0945653469,swamyazad@example.com,Etawah,1961-12-31,EQU-0454,1,3370150
Pahal Panchal,FWFEQ7060I,1317653970,nkalita@example.com,Hyderabad,1990-09-21,EQU-0455,12,4036419
Yashawini Saxena,RSKYZ1827I,4918727420,rchoudhary@example.org,Davanagere,1981-11-06,EQU-0456,5,4174000
Abdul Ram,LOVRL2604F,7112229907,vohrajyoti@example.net,Gurgaon,1981-06-23,EQU-0457,5,3767081
Dhruv Chahal,GPIHB4576K,9237858471,baralvincent@example.org,Dewas,1966-06-30,EQU-0458,4,3465592
Nitesh Koshy,ADWBC6534U,0356793279,bhavnatank@example.org,Ghaziabad,1961-12-29,EQU-0460,15,1733818
Tanay Kata,CJVYN1167W,0843768550,msathe@example.org,Asansol,1991-08-03,EQU-0466,10,2612381
Ijaya Karnik,KKOLP4547H,0650312198,sneha24@example.org,Alwar,1998-12-16,EQU-0468,9,3189266
Lucky Babu,ZDTDX3747N,2603214505,menonisha@example.net,Thane,2001-09-23,EQU-0472,5,3561183
Ekansh Pandey,KAGJV5348T,0083850765,bhavani50@example.net,Bahraich,1994-01-03,EQU-0473,11,4040756
Yoshita Bansal,JYVQT8981C,2231964630,robertsahota@example.net,Erode,1995-10-24,EQU-0474,12,2219728
Bhavani Devi,KPXSG1794G,9340652775,zsahota@example.org,Khammam,1969-11-24,EQU-0479,3,2704016
Manthan Dubey,HJGCI0109J,4559376618,xbandi@example.org,Nellore,1975-10-26,EQU-0480,3,2679107
Charan Taneja,SXHPY9388J,2830615370,brindakurian@example.com,Purnia,1969-08-12,EQU-0484,13,4504634
Rushil Barman,KWBQX0730P,6057121988,jtalwar@example.net,Jamshedpur,1988-02-18,EQU-0487,5,2489640
Hemangini Deshpande,SRPNH6969T,4970169342,kotharikevin@example.net,Ahmednagar,2004-07-21,EQU-0491,5,4535669
Ekbal Rana,KAPNT2341H,6153722155,sachi32@example.org,Nagercoil,1968-11-27,EQU-0492,12,128052
Vrishti Suresh,ABDKD4604Y,7843614244,ewagle@example.net,Karnal,1973-12-22,EQU-0493,9,1037629
Shivani Iyer,KEOCI4764B,7638821458,netra01@example.net,New Delhi,2000-03-07,EQU-0494,8,1716368
Gauri Tailor,SEGKI3680O,0376811872,gunbir04@example.org,Jamshedpur,2004-04-02,EQU-0496,9,4213725
Avi Chatterjee,LKOVC9043U,3332470739,jeevikamistry@example.net,Jamnagar,1990-11-26,EQU-0498,11,4194845
Aashi Lal,CBFNI5822Z,1829716815,ayushman00@example.org,Ludhiana,1964-04-25,EQU-0501,7,3407542
Dayita Garde,TCOED9608A,3699879509,bhatamrita@example.org,Katni,1971-10-04,EQU-0504,15,4144670
Abdul Lal,FPHMY4287T,8164321269,nikita42@example.org,Gurgaon,1993-12-02,EQU-0505,9,848948
Wyatt Tella,UIDNS8245D,0404333353,jason63@example.org,Mysore,1964-10-17,EQU-0507,13,4174242
Aadhya Bansal,AVCXO4288B,3766608112,christophervenkatesh@example.org,Pali,1978-02-20,EQU-0511,11,2605152
Lohit Sani,ANSBJ6980E,6176072348,eshanapathak@example.net,Saharsa,1966-09-24,EQU-0515,15,3345854
Falan Atwal,ILGOM2179Q,2985797363,eiravatirege@example.org,Berhampur,1985-10-27,EQU-0522,3,1541601
Elijah Virk,UKZDW2192M,8984369984,baljiwannarayanan@example.org,Hosur,1979-09-11,EQU-0524,7,1269088
Yashica Manne,VNGJO2495E,4578870715,ysem@example.com,Panvel,1994-06-23,EQU-0525,4,2289576
Amruta Raman,GVZKQ3389F,2857256292,hemalwagle@example.net,Kota,1970-06-21,EQU-0528,13,2672731
Mahika Pingle,QYJUB5078N,7443034918,ksule@example.org,Nagaon,1997-04-15,EQU-0529,5,1753619
Tanmayi Rajagopal,HEJDM9819U,7045238885,priya60@example.com,Hospet,1984-05-06,EQU-0531,5,4719087
Brinda Sachdev,GVTKX2025S,1832812312,modygeorge@example.org,Bangalore,1999-08-06,EQU-0534,2,4287424
Reva Agate,EKDVP2927Q,8713752988,chaudharikrish@example.com,Meerut,1984-09-29,EQU-0538,6,3788527
Vrinda Shroff,CWRNS8889V,8523860030,kbumb@example.net,Bhubaneswar,1980-11-19,EQU-0539,1,4385801
Matthew Doshi,RSDAD1321W,0191116612,sekhonlaban@example.net,Dehri,1994-01-27,EQU-0541,3,4562859
