name,pan_like_id,mobile,email,city,dob,source_customer_id,advisor_assigned,total_aum,risk_profile
Upkaar Grewal,FUPTG6909R,8950097519,udyati81@example.net,Sambalpur,1981-06-03,WEA-0177,Devika Bera,5152273,MODERATE
Advay Singh,UVAWZ7879S,2094940792,mangatvedhika@example.org,Dibrugarh,1964-01-07,WEA-0178,Zayyan Deo,36081026,AGGRESSIVE
Vidhi Chad,MBULP7320F,1847870050,kakartara@example.net,Adoni,1970-11-20,WEA-0185,Balhaar Dhaliwal,37223402,AGGRESSIVE
Rushil Nanda,GPVAM3153Y,1797062397,tanvihari@example.net,Gopalpur,1969-07-13,WEA-0190,Azad Bhasin,6628764,CONSERVATIVE
Chakrika Som,UCVSH4929U,0281406937,hayertristan@example.com,Lucknow,1964-04-24,WEA-0198,Gagan Vala,49220693,CONSERVATIVE
Maanas Johal,ELWYF4785A,4628792326,mittaldaksha@example.com,Rajahmundry,1961-10-25,WEA-0200,Mitesh Lala,26051899,MODERATE
Urmi Dash,SPPBH4627W,7195979647,ladnicholas@example.net,Ulhasnagar,1974-09-13,WEA-0201,Ishanvi Gade,3975317,MODERATE
Anjali Patel,SHOEG6504M,1928554451,agastyadevan@example.net,Serampore,1994-11-26,WEA-0202,Harini Gaba,5234605,AGGRESSIVE
Utkarsh Mohanty,BSWYH2321E,7603108907,mitraadvaith@example.org,Madanapalle,1969-09-03,WEA-0204,Qasim Panchal,37442173,MODERATE
Pratyush Pant,OAHWU6638H,1827548015,tanmayi94@example.net,Kamarhati,1985-01-02,WEA-0206,Priya Gulati,35848012,MODERATE
Unnati Jaggi,QIVZI4778I,0616756770,nitesh76@example.org,Pali,1982-01-30,WEA-0209,Vritti Zacharia,3842406,AGGRESSIVE
Vamakshi Dugar,FLYNR8064W,5009025590,wpai@example.com,Pimpri-Chinchwad,1989-09-23,WEA-0210,Wahab Muni,19425098,AGGRESSIVE
Samar Sachar,RMPZP4424H,3034778660,ayushkuruvilla@example.com,Kalyan-Dombivli,2003-01-16,WEA-0214,Anmol Bhakta,18567535,MODERATE
Dipta Misra,ZUIPH1651K,8984713915,pallavikamdar@example.org,Akola,1970-01-20,WEA-0215,Ria Rege,20164739,AGGRESSIVE
Ansh Bajaj,DMQSK8931D,9694215291,htalwar@example.org,Jhansi,2002-04-06,WEA-0219,Bhavna Talwar,28567993,MODERATE
Rajata D’Alia,TJFDF7075H,1513422849,vorapranit@example.com,Shahjahanpur,1994-06-09,WEA-0223,Falguni Bal,16131054,MODERATE
Wriddhish Rastogi,YXZSP1032W,1476492515,erama@example.com,Mysore,1993-12-02,WEA-0225,Quincy Saraf,3764502,CONSERVATIVE
Girik Baria,PRTJF8573H,4761742243,bosechakradev@example.net,Sasaram,1979-05-01,WEA-0226,Ucchal Kulkarni,15147110,AGGRESSIVE
Hardik Dube,MCAXX5521A,7548214565,ikari@example.com,Alappuzha,2000-02-24,WEA-0233,Ayushman Savant,41098805,AGGRESSIVE
Advaith Varughese,ZXKBD1155Z,2908466845,netrasehgal@example.net,Tinsukia,1988-02-09,WEA-0234,Hemani Ravel,25557640,CONSERVATIVE
Yashica Pandya,TKVAD1017V,9989354492,narangzaitra@example.net,Karimnagar,1980-08-16,WEA-0236,Pavani Sabharwal,37900284,MODERATE
George Bhatia,CEXRH6273Z,4976776228,yochanawadhwa@example.org,Sirsa,1981-06-18,WEA-0237,Kala Dani,35166633,MODERATE
Imaran Dara,HJHXT5940X,4702296044,dasikshita@example.org,Erode,1981-10-21,WEA-0238,Sneha Nazareth,32792431,AGGRESSIVE
Vaishnavi Deo,QCJUU2877F,6365807412,chadareyansh@example.net,Jehanabad,1983-08-05,WEA-0239,Yadavi Bahl,11905327,MODERATE
Pranit Bahl,CFZIM4339U,9070562608,contractorhardik@example.net,Baranagar,1966-12-21,WEA-0240,Gaurav Dube,38777207,MODERATE
Veda Balakrishnan,JLRGP6304W,4967183258,cseth@example.org,Udupi,1973-05-12,WEA-0242,Aadi Bhasin,43213169,AGGRESSIVE
Sudiksha Rajagopalan,GVPRY7699B,8593110919,isha67@example.net,Gaya,1971-05-02,WEA-0249,Darpan Datta,46407350,AGGRESSIVE
Bina Sarraf,BMMSL3950O,2583230241,nigamshivansh@example.com,Mathura,1976-11-24,WEA-0252,Onveer Vyas,16144567,AGGRESSIVE
Nathan Mukherjee,RMAJC9387E,9385977790,chameli69@example.org,Kulti,1968-07-14,WEA-0260,Tanvi Rajagopalan,43864162,MODERATE
Girish Ramaswamy,OISQE0324S,7681511856,yashawinibasu@example.com,Srinagar,1988-09-29,WEA-0261,Lakshmi Oza,6820873,MODERATE
Anjali Dube,TCRIN7523C,8164709006,ryanchand@example.org,Bhopal,2004-02-29,WEA-0263,Rehaan Bhatnagar,25129132,AGGRESSIVE
Unni Mukhopadhyay,LMPTS2336K,3471566277,ydugal@example.com,Eluru,1979-06-10,WEA-0268,Charita Yogi,45566623,CONSERVATIVE
Lekha Gaba,GTFOS3645X,6633705024,yug99@example.net,Ahmedabad,1965-10-08,WEA-0270,Leena Rao,30651417,CONSERVATIVE
Zarna Gulati,STGIQ6264Y,6119524364,chatterjeeekaraj@example.net,Loni,1978-12-23,WEA-0271,Raagini Garde,35250710,MODERATE
Aarush Shan,HHRSW6209P,7978630505,vedhikaratta@example.net,Karnal,1979-06-19,WEA-0274,Harish Rajan,26667772,MODERATE
Laban Warrior,KXMEP7153V,6863341411,jackpillai@example.org,Nadiad,1986-01-07,WEA-0276,Deepa Bhatia,32071665,AGGRESSIVE
Lipika Sampath,QMLOG5528Z,8752437729,dayamai81@example.com,Thrissur,1982-06-01,WEA-0277,Daniel Nath,16412494,CONSERVATIVE
Riya Subramanian,ZVMVP4233A,9126620157,radha26@example.org,Kochi,1971-03-26,WEA-0279,Chasmum Gera,41116665,AGGRESSIVE
Meera Yadav,LITYP8718H,1292087510,gagankunda@example.org,Amravati,1982-11-27,WEA-0281,Onveer Sampath,45306105,AGGRESSIVE
Vansha Datta,QIJYK4082V,0539672757,tverma@example.org,Chandigarh,2002-04-28,WEA-0285,Dhriti Chana,28694317,MODERATE
Faraj Khatri,FVSJF1290Z,6827788160,vwarrior@example.com,Dehri,1990-09-25,WEA-0286,Saumya Ganguly,17297959,MODERATE
Parth Borde,DBFYK5285X,5381447443,dalajavarma@example.org,Tadipatri,1997-12-17,WEA-0287,Ishani Ahuja,5884473,CONSERVATIVE
Falguni Misra,ULZWA5105G,7318826170,xrana@example.com,Haldia,1999-11-22,WEA-0288,Ikbal Sarna,15018309,MODERATE
Neel Dey,TMHMS5605C,6650237416,ektaratta@example.net,Mira-Bhayandar,1965-06-18,WEA-0289,Ansh Date,48229110,CONSERVATIVE
Manthan Karnik,RMJBB1260N,1066843356,tbehl@example.org,Bharatpur,1972-12-23,WEA-0291,Omya Koshy,32273003,CONSERVATIVE
Jai Barman,GEINV9337T,3820236848,sarinekansh@example.com,Loni,2001-08-12,WEA-0293,Ojas Mahal,11228156,CONSERVATIVE
Bimala Bath,FRIGE9036K,8686694320,varghesetamanna@example.net,Avadi,1998-02-22,WEA-0294,Amrita Dani,24634142,CONSERVATIVE
Amrita Dhar,IVVTF9001M,7972457230,bailchaitanya@example.org,Kota,1983-02-21,WEA-0298,Lucky Agarwal,43797241,AGGRESSIVE
Arjun Karan,PSORY6625R,7213145195,dorapranav@example.com,Ghaziabad,1968-08-12,WEA-0299,Mason Mitra,1795305,CONSERVATIVE
Ijaya Chawla,ZTZEY4754A,2526771196,joshua26@example.com,Shimla,1979-04-14,WEA-0300,Gauri Devi,36190908,CONSERVATIVE
Logan Wable,CYPSA4765S,2009282066,utkarsh62@example.com,Nagaon,1977-03-31,WEA-0303,Siddharth Rattan,26451977,MODERATE
Dayamai Guha,RFKKC8303K,0051405468,kai15@example.com,Ambala,1996-03-01,WEA-0305,Arjun Raja,4124720,CONSERVATIVE
Arin Sampath,JERZF4421T,6834201654,esubramaniam@example.net,Junagadh,1976-03-29,WEA-0310,Advaith Issac,48855903,CONSERVATIVE
Gagan Chawla,GFVWN1096I,7890463378,wdash@example.com,Tenali,1960-12-20,WEA-0313,Udarsh Tripathi,13575649,MODERATE
Amrita Lalla,ACABJ4630Y,8955296386,sanghvikabir@example.net,Malegaon,1978-05-16,WEA-0314,Zansi Dutt,7931871,CONSERVATIVE
Vihaan Chaudhary,YZWOQ2819J,5311060920,vbakshi@example.net,Malda,1988-07-20,WEA-0315,Rachit Khatri,1828164,MODERATE
Tarak Patla,IOFUS1305I,4731584776,oscar34@example.com,Ballia,1995-07-14,WEA-0318,Noah Jha,8178794,CONSERVATIVE
Yatan Bora,XUHAU3552S,5379538164,harshilmall@example.net,Chapra,1999-11-30,WEA-0320,Radhika Nadkarni,26236644,MODERATE
Yadavi Sankar,RXGDP8507Y,3436294897,kothariindrajit@example.org,Meerut,2000-01-07,WEA-0326,William Bhatti,15898240,AGGRESSIVE
Anya Kara,GOUSR9666F,2354940128,onkarmurty@example.net,Rourkela,1968-11-16,WEA-0327,Lucky Arya,26106739,MODERATE
Aarini Sur,WTTVH4570X,1480263257,nparsa@example.net,Jammu,2001-02-21,WEA-0329,Hritik Mahal,24374037,MODERATE
Chatura Chad,MGSKE0415S,0198038287,deepa07@example.net,Raipur,1963-08-04,WEA-0334,Jai Venkatesh,40742081,MODERATE
Harish Tailor,SZGDA5466B,0471960940,liam77@example.com,Kozhikode,1976-05-17,WEA-0336,Ikshita Vohra,42430508,CONSERVATIVE
Bhavika Kar,ZYMFL3268B,3020569815,sarthaksom@example.net,Raurkela Industrial Township,1987-11-06,WEA-0339,Ekalinga Sarna,27069328,MODERATE
Krisha Bobal,TGHFO9128D,0344651241,mohini90@example.net,Ballia,1981-05-11,WEA-0340,Ayushman Bali,20383373,CONSERVATIVE
Vincent Chanda,VWZYI9036K,0301027240,brindadayal@example.net,Nangloi Jat,1989-07-27,WEA-0343,Faraj Krishna,12224191,CONSERVATIVE
Dipta Bhatt,QFIOO7244L,9031028795,ladaarini@example.org,Panvel,1992-03-29,WEA-0348,Inaya Chopra,47246972,MODERATE
Yashica Sawhney,NUKXR1813A,6420595565,dyaljyoti@example.org,Jalgaon,2000-10-03,WEA-0349,Hitesh Kakar,42349207,CONSERVATIVE
Yasti Trivedi,LCQUJ9536Y,1398986818,rnadig@example.org,Latur,1975-02-05,WEA-0350,Vihaan Shah,22720026,AGGRESSIVE
Hritik Bath,OCVBS1576W,2298120995,ggoda@example.net,Jalandhar,1970-11-08,WEA-0353,Harita Bava,19671409,AGGRESSIVE
Gopal Jhaveri,MCIIZ8820M,7053496782,saxenarachana@example.com,Chandigarh,1998-09-03,WEA-0355,Jackson Pandya,27690260,CONSERVATIVE
Watika Mandal,UVNAB2318E,8932064969,charitakata@example.com,Unnao,1995-09-10,WEA-0357,Ishanvi Srivastava,33570475,MODERATE
Gopal Kanda,UPQBH1467L,5156277963,nilimabhat@example.net,Bhilwara,1990-05-02,WEA-0358,Mahika Sathe,2092623,CONSERVATIVE
Mohini Lad,VOCTC0473A,9283199529,xchana@example.net,Nagercoil,1994-05-17,WEA-0359,Chandran Venkataraman,19389134,CONSERVATIVE
Janaki Wason,TOSZK3286X,6383000818,barkhamitra@example.org,Shahjahanpur,1962-02-13,WEA-0360,Krishna Rattan,27598032,AGGRESSIVE
Anamika Chad,BAVIM1186J,9639456804,lallaurishilla@example.com,Haldia,1964-09-23,WEA-0361,Arya Subramanian,32997956,CONSERVATIVE
Yashawini Konda,XWITG6076C,9063757914,garasarthak@example.com,Gwalior,1966-11-08,WEA-0362,Viraj Bhargava,16179411,AGGRESSIVE
Zayyan Sabharwal,USKMA4520A,3878753577,sandalfaras@example.com,Ahmedabad,1967-10-07,WEA-0363,Ojas Hora,16364364,MODERATE
Damini Pillai,IPQME9648L,1342491289,urvashi32@example.org,Thrissur,1964-08-26,WEA-0366,Luke Gala,44622118,CONSERVATIVE
Deepa Mahal,DKSFK8515D,1121259020,koshydarika@example.net,Mira-Bhayandar,1974-04-18,WEA-0371,Bhavini Gokhale,34526416,AGGRESSIVE
Logan Mutti,MLSQS6334C,1759558720,radhapalan@example.net,Dhule,1975-09-10,WEA-0372,Gautam Varghese,9857221,MODERATE
Nicholas Sibal,ZNDLK8207S,6734595764,samapooja@example.com,Guntakal,1961-11-21,WEA-0374,Charita Viswanathan,43182665,AGGRESSIVE
Harish Sinha,QYDTP8637W,6252654696,obala@example.net,Noida,1976-11-16,WEA-0376,Yachana Agarwal,40355131,AGGRESSIVE
Balhaar Wali,IGIUJ6321O,6457938970,dinharrison@example.com,Naihati,2001-06-10,WEA-0380,Pahal Rattan,19036479,AGGRESSIVE
Kai Maharaj,GOOBT4795U,1949796958,ozaharini@example.com,Raiganj,1967-04-25,WEA-0382,Shivansh Walia,18646252,AGGRESSIVE
Keya Yogi,GZNNH2691K,2268653694,yadavi88@example.com,Sambhal,1982-05-29,WEA-0384,Bhavini Sengupta,46239456,AGGRESSIVE
Janani Manne,ETCRS4294J,2946430394,januja88@example.com,Tadipatri,2000-03-26,WEA-0389,Nachiket Thaker,35613015,CONSERVATIVE
Vansha Shetty,YOEME1805H,1731893974,uchoudhury@example.com,Giridih,1996-02-02,WEA-0392,Aadi Krishnamurthy,14114576,AGGRESSIVE
Hema Yohannan,NTGTU2313X,1493925236,eshanavarty@example.com,Agartala,1970-09-12,WEA-0394,Urmi Mitter,36555248,CONSERVATIVE
Max Dora,JFCPU9493K,8840215573,trivenipathak@example.com,Rampur,1971-11-14,WEA-0397,Logan Dar,27370607,AGGRESSIVE
Ganga Bora,HXSVB2957B,9409600356,tanvi39@example.com,Maheshtala,1994-08-24,WEA-0399,Darika Golla,28280595,CONSERVATIVE
Dev Pau,GODHH6082J,2547681826,anayissac@example.net,Hajipur,1987-01-28,WEA-0407,Champak Walia,24752729,CONSERVATIVE
Ekalinga Bhargava,KWZPZ6227Y,6693351342,sameshsawhney@example.org,Khammam,1961-02-09,WEA-0409,Deepa Viswanathan,42552234,AGGRESSIVE
Ati Majumdar,QQWFA4856G,3973964178,mbasak@example.org,Ramgarh,1964-10-23,WEA-0411,Jalsa Sama,10209753,MODERATE
Balveer Palan,CZZOV7798X,0392051460,indira34@example.com,Anantapur,1980-10-17,WEA-0412,Naveen Kadakia,17720022,AGGRESSIVE
Krish Nagy,GYGTE3892I,1935837490,esarin@example.org,Karaikudi,1980-05-14,WEA-0416,Idika Sood,11712239,CONSERVATIVE
Abha Ratti,VCWGH3351Q,9080512080,ayaan99@example.com,Malegaon,1968-12-05,WEA-0419,Qabil Wason,48207923,AGGRESSIVE
Hemani Chatterjee,LCTXL2959G,7090814415,harishtank@example.org,Pudukkottai,2001-02-11,WEA-0420,Lopa Sem,33912631,CONSERVATIVE
Dominic Nigam,FMYZC3523W,7918158998,barkhanagi@example.org,Davanagere,1973-07-11,WEA-0421,Netra Saran,33077298,CONSERVATIVE
Fitan Swaminathan,JENYT0715F,0803149982,battachavvi@example.com,Nagercoil,2003-01-22,WEA-0422,Radha Trivedi,9757005,MODERATE
Mitali Mane,QGWHZ8449M,8732807711,fiyazbir@example.org,Tadepalligudem,1976-12-14,WEA-0425,Riya Barman,33695439,AGGRESSIVE
Lila Sengupta,WODEJ3794D,3242642506,troy@example.net,Rewa,1966-02-19,WEA-0428,Sathvik Ravi,16971636,MODERATE
Gunbir Bhattacharyya,VFUWM1000V,3415959775,duttamax@example.org,Kochi,1984-01-21,WEA-0431,Nathan Singh,30408455,AGGRESSIVE
Ronith Nagi,ZFBNL4159A,5438480752,saumya65@example.org,Berhampore,1989-08-25,WEA-0433,Azad De,11915693,MODERATE
Raghav Grover,OLSMA5326G,3645380442,upadmanabhan@example.org,Vijayawada,1990-04-17,WEA-0437,Advik Chakrabarti,19892693,MODERATE
Watika Bhatt,HKTPF1221W,5516517680,gauravjohal@example.com,Bhiwandi,1994-03-13,WEA-0445,Utkarsh Khatri,28782173,AGGRESSIVE
Arjun Ben,OWOJI3700G,5660847068,joshivictor@example.net,Chennai,1976-01-03,WEA-0446,Jhalak Upadhyay,36937763,AGGRESSIVE
Vamakshi Ghosh,DLSJR0113R,9712316600,agill@example.net,Rajkot,2002-11-06,WEA-0450,Baghyawati Srinivas,38336969,MODERATE
Amara Bajwa,ZAPCK4337B,3045195778,ekanipalan@example.com,Amaravati,1978-04-24,WEA-0451,Idika Master,40431563,AGGRESSIVE
Aachal Gala,UUZXJ3571Z,3956137230,ekbalmohan@example.org,Avadi,1996-12-11,WEA-0453,Rayaan Bajwa,28574363,MODERATE
Azaan Merchant,EQCHB1321W,0945653469,swamyazad@example.com,Etawah,1961-12-31,WEA-0454,Leela Yohannan,23246190,AGGRESSIVE
