name,pan_like_id,mobile,email,city,dob,source_customer_id,policy_type,sum_assured,premium
Anjali Patel,SHOEG6504M,1928554451,agastyadevan@example.net,Serampore,1994-11-26,INS-0202,ENDOWMENT,8528420,170605
Tejas Dubey,NSHIT8338J,6711207545,orinder40@example.net,Korba,1966-04-19,INS-0203,ULIP,1203065,87731
Gautam Dhingra,KGXUN4955P,1908334280,speri@example.net,Gandhidham,1990-04-09,INS-0205,HEALTH,7830827,109863
Rajata Jaggi,SQDTK7183Z,9191954198,faraj48@example.com,Panvel,1974-06-03,INS-0212,TERM,2810140,143794
Neelima Krishnamurthy,LBOTH9878L,3748969083,matthewmital@example.com,Imphal,1998-06-26,INS-0213,ULIP,8872568,140723
Aadhya Mitra,KCOUZ1343X,0417765612,osha98@example.net,Malda,1991-03-23,INS-0217,HEALTH,3142499,191596
Qarin Sawhney,OTUKF2063H,3829657724,rushil16@example.com,Singrauli,1999-03-13,INS-0218,ULIP,2829967,67058
Ansh Bajaj,DMQSK8931D,9694215291,htalwar@example.org,Jhansi,2002-04-06,INS-0219,ULIP,1946455,22235
Jairaj Ramesh,JBFDT5915Q,7490509759,ekantika01@example.net,Tiruchirappalli,1978-03-09,INS-0224,ULIP,9741585,76945
Girik Baria,PRTJF8573H,4761742243,bosechakradev@example.net,Sasaram,1979-05-01,INS-0226,ENDOWMENT,1008113,135557
Aachal Bumb,LYLZC8017F,4597794523,hitesh68@example.org,Tenali,1965-10-08,INS-0227,ENDOWMENT,8624385,126750
Vansha Sharma,NNXSR6974S,4122031030,rajatayohannan@example.org,Barasat,1994-07-03,INS-0228,ENDOWMENT,2693891,102134
Urvi Sami,VSCFE0122B,9334960501,balhaar76@example.com,Ahmednagar,1992-01-24,INS-0229,ENDOWMENT,4659388,41930
Jai Kapur,XCXJR7455J,0771199180,jhajanaki@example.org,Mango,1994-02-28,INS-0232,TERM,2010773,108086
Advaith Varughese,ZXKBD1155Z,2908466845,netrasehgal@example.net,Tinsukia,1988-02-09,INS-0234,HEALTH,6636730,110710
George Bhatia,CEXRH6273Z,4976776228,yochanawadhwa@example.org,Sirsa,1981-06-18,INS-0237,ULIP,3839637,162932
Vaishnavi Deo,QCJUU2877F,6365807412,chadareyansh@example.net,Jehanabad,1983-08-05,INS-0239,HEALTH,6143410,137989
Pranit Bahl,CFZIM4339U,9070562608,contractorhardik@example.net,Baranagar,1966-12-21,INS-0240,TERM,7488386,158014
Anjali Krishna,GSCKV6539I,4161284639,sneha43@example.net,Mau,1969-11-25,INS-0243,ENDOWMENT,5762886,114780
Anmol Mand,OTZTO5319O,5047930361,jgarde@example.org,Amritsar,1986-07-07,INS-0245,ENDOWMENT,9316043,103782
Abdul Ramanathan,ZBVOS3519B,3325411076,yug17@example.org,Meerut,1996-10-14,INS-0247,HEALTH,4272642,83017
Rajata Varghese,XJJET5498M,4508920388,saijaggi@example.org,Maheshtala,1990-01-08,INS-0250,TERM,6311015,120966
Garima Nayak,KGDYC9465F,0337933756,patiladvaith@example.org,Ludhiana,1985-01-15,INS-0251,ULIP,9535838,76075
Frado Merchant,LCDGN7853V,7766575460,faqid51@example.com,Bally,2001-05-28,INS-0255,TERM,2000901,175996
Chandani Nanda,IJVKO9090Z,6361863715,garghemang@example.net,Patna,1996-12-31,INS-0258,ENDOWMENT,2751501,137176
Nathan Mukherjee,RMAJC9387E,9385977790,chameli69@example.org,Kulti,1968-07-14,INS-0260,ULIP,3444316,165158
Girish Ramaswamy,OISQE0324S,7681511856,yashawinibasu@example.com,Srinagar,1988-09-29,INS-0261,TERM,3600114,41860
Robert Ranganathan,TIUQV0041D,7118372742,goelchaitaly@example.org,Gulbarga,1964-01-18,INS-0262,TERM,4875250,105551
Anjali Dube,TCRIN7523C,8164709006,ryanchand@example.org,Bhopal,2004-02-29,INS-0263,TERM,4888133,176359
Jyoti Bassi,XMFGT1364I,4195625257,graja@example.net,Ambala,1986-06-26,INS-0265,ENDOWMENT,8930894,189433
Viraj Bail,VBWPN9143F,2574326303,arunimanadkarni@example.net,Saharsa,1995-06-22,INS-0266,HEALTH,4205235,62443
Unni Mukhopadhyay,LMPTS2336K,3471566277,ydugal@example.com,Eluru,1979-06-10,INS-0268,HEALTH,1810346,152893
Kavya Grewal,GHCKN2372L,0234679121,malhotradevansh@example.com,Bhimavaram,1970-12-19,INS-0272,ULIP,1725232,16872
Harrison Andra,YCGNH0409Y,6984775965,jalsarastogi@example.com,Raurkela Industrial Township,1999-01-19,INS-0273,TERM,1657949,128750
Gaurav Sheth,AHHFH6475F,0999741926,hardiknanda@example.org,Machilipatnam,1996-05-26,INS-0280,ULIP,1446973,41735
Meera Yadav,LITYP8718H,1292087510,gagankunda@example.org,Amravati,1982-11-27,INS-0281,HEALTH,5879867,67102
Lakshmi Gade,RBSJI6714N,4359892625,farasmadan@example.org,Motihari,1978-07-14,INS-0283,ENDOWMENT,7349452,44116
Hemangini Tella,BMVAB0305E,4716392823,pushtiissac@example.com,Ambala,1987-07-10,INS-0290,ENDOWMENT,9453163,175058
Manthan Karnik,RMJBB1260N,1066843356,tbehl@example.org,Bharatpur,1972-12-23,INS-0291,HEALTH,9103633,135358
Champak Gopal,NSERM0005G,2475541108,kamya34@example.org,Chandigarh,1999-09-03,INS-0292,ULIP,2948176,9251
Bimala Bath,FRIGE9036K,8686694320,varghesetamanna@example.net,Avadi,1998-02-22,INS-0294,ENDOWMENT,8231427,49101
Ijaya Chawla,ZTZEY4754A,2526771196,joshua26@example.com,Shimla,1979-04-14,INS-0300,ENDOWMENT,3507598,33053
Theodore Ramanathan,SDEUP2891P,6205634111,khatribaghyawati@example.org,Amritsar,1969-12-16,INS-0304,HEALTH,9993498,29998
Baljiwan Mannan,OFTON2271Z,2889857254,ramwilliam@example.org,Jamnagar,1985-07-30,INS-0306,HEALTH,762699,59305
Gunbir Aurora,FGDUK2481S,1495511274,jatinsura@example.org,Baranagar,1978-04-11,INS-0307,TERM,2138895,119580
Ikbal Chada,MZVEU2166V,3714708272,raidavid@example.com,Bhalswa Jahangir Pur,1970-01-09,INS-0309,ENDOWMENT,4327527,98273
Gagan Chawla,GFVWN1096I,7890463378,wdash@example.com,Tenali,1960-12-20,INS-0313,TERM,2723098,27884
Vihaan Chaudhary,YZWOQ2819J,5311060920,vbakshi@example.net,Malda,1988-07-20,INS-0315,ENDOWMENT,7006196,27203
Ethan Sur,UOCZK1366L,0299015579,aachaldara@example.org,Jorhat,1961-08-25,INS-0317,HEALTH,8624053,25164
Rachita Sehgal,NGMYB6945M,5172084964,hbalan@example.org,Haldia,1995-06-08,INS-0319,ULIP,5540467,89060
Yatan Bora,XUHAU3552S,5379538164,harshilmall@example.net,Chapra,1999-11-30,INS-0320,ENDOWMENT,4567204,90429
Rudra Hegde,RAHHC0770K,9639040907,wallabalveer@example.com,Coimbatore,1981-04-23,INS-0321,ULIP,9654137,52166
Priya Natt,KRWAM0241W,9073710094,mananchandra@example.org,Thanjavur,1980-07-19,INS-0328,ENDOWMENT,1940404,35426
Aarini Sur,WTTVH4570X,1480263257,nparsa@example.net,Jammu,2001-02-21,INS-0329,ULIP,9242856,131596
Pahal Rastogi,TLKBR1449U,3426834414,keyasarkar@example.org,Hajipur,1980-01-29,INS-0332,ULIP,6053084,151761
Harish Tailor,SZGDA5466B,0471960940,liam77@example.com,Kozhikode,1976-05-17,INS-0336,HEALTH,1921902,181189
Yochana Bhatnagar,VDTYI2259R,6176792988,netra10@example.org,Ahmednagar,1964-11-18,INS-0337,TERM,4502586,85053
Oviya Lal,NJUVW3502Q,3719905169,rdayal@example.net,Vasai-Virar,1962-03-15,INS-0341,ENDOWMENT,1399447,99119
Vincent Chanda,VWZYI9036K,0301027240,brindadayal@example.net,Nangloi Jat,1989-07-27,INS-0343,TERM,4199871,81569
Warda Parikh,XJSPP3745H,5881056974,dalajakade@example.org,Ajmer,1962-03-19,INS-0344,ULIP,9519575,80673
Atharv Nayar,VUNBB4930Y,1864876998,ikhanna@example.org,Panipat,1964-05-25,INS-0346,TERM,7904902,148223
Jack Khosla,WJGEX7651P,9376392836,bhavini55@example.org,Alappuzha,1979-02-28,INS-0351,ENDOWMENT,1494652,77698
Bhavika Naidu,CVUNB6522H,9951542144,bhavyalad@example.net,Ahmednagar,1989-12-16,INS-0354,TERM,8191502,171419
Janaki Wason,TOSZK3286X,6383000818,barkhamitra@example.org,Shahjahanpur,1962-02-13,INS-0360,HEALTH,3277050,18575
Krishna Gala,ALJEE8705A,3318751097,upkaar50@example.org,Anantapuram,1996-09-30,INS-0365,ENDOWMENT,2733823,173185
Damini Pillai,IPQME9648L,1342491289,urvashi32@example.org,Thrissur,1964-08-26,INS-0366,ULIP,3039636,112927
Dipta Chatterjee,VBVRU8439T,9580660138,sachibasu@example.com,Dibrugarh,1978-08-23,INS-0370,ULIP,9186388,164102
Nicholas Sibal,ZNDLK8207S,6734595764,samapooja@example.com,Guntakal,1961-11-21,INS-0374,ENDOWMENT,7606413,188975
Harish Sinha,QYDTP8637W,6252654696,obala@example.net,Noida,1976-11-16,INS-0376,TERM,5703780,188153
Balhaar Wali,IGIUJ6321O,6457938970,dinharrison@example.com,Naihati,2001-06-10,INS-0380,ULIP,6738933,38274
Madhavi Kumer,OFJWF6091N,4457702992,wsagar@example.org,Miryalaguda,1993-05-16,INS-0383,HEALTH,3139223,71877
Hardik Narayan,IVIFZ8148D,9833423372,gavin31@example.org,Ghaziabad,1969-10-10,INS-0391,HEALTH,4569884,126615
Hema Yohannan,NTGTU2313X,1493925236,eshanavarty@example.com,Agartala,1970-09-12,INS-0394,HEALTH,2243975,58790
Tanveer Thakur,PKUUE7411U,0673499601,raksha41@example.com,Srinagar,1974-11-30,INS-0396,ULIP,7116116,24616
Atharv Walla,WEUUO9028Q,3426433502,sawhneysathvik@example.com,Amroha,1979-12-06,INS-0400,HEALTH,8273665,74470
Isha Patel,OSFPP4164Z,7045023290,upmabarad@example.org,Durg,1976-12-27,INS-0402,HEALTH,3417016,13147
Luke Kar,NGPOQ1164L,5798894256,rajanchanakya@example.org,Kanpur,1966-12-04,INS-0405,HEALTH,1758076,10714
Victor Wali,RKOON2521O,8963406468,laban40@example.org,Miryalaguda,1990-01-12,INS-0408,HEALTH,7982830,43962
Urishilla Kata,VNDJE7418W,4064176927,chakrabartijanani@example.org,Bhiwani,1979-03-10,INS-0410,ENDOWMENT,7412082,149359
Nandini Pall,WNIVZ2715O,4116597263,raksha52@example.org,Pune,1965-07-16,INS-0413,HEALTH,7015956,75893
Theodore Korpal,ASPBN3732E,6889362896,adya65@example.com,Imphal,1984-05-30,INS-0415,TERM,8413550,143787
Devansh Pandya,UBTMF1494B,6374845398,abeer90@example.net,Dharmavaram,1965-11-25,INS-0417,TERM,4181115,155914
Devansh Wagle,MXWLL6233B,1511696667,mukhopadhyayisha@example.org,Nizamabad,1982-08-15,INS-0418,ULIP,4468669,160325
Aarna Sami,ASAAA9434Y,3749060723,vrindabhavsar@example.org,Rourkela,2002-02-24,INS-0424,TERM,6146557,84105
Shivansh Nadkarni,VQLWD0902M,6624813235,korpalbhavna@example.net,Asansol,1984-09-15,INS-0426,ULIP,6848231,85431
Dakshesh Choudhury,BNUKU1688U,0213060906,borahanmol@example.net,Aurangabad,1989-01-02,INS-0427,TERM,7069981,153762
Anirudh Mittal,YCSRR6376S,5586652548,fiyaz71@example.net,Danapur,2000-01-19,INS-0434,TERM,6234590,49592
Aarush Sant,YUOHM3301E,7927490728,adyadhawan@example.net,Amravati,1991-07-24,INS-0436,ULIP,3687406,112290
Raghav Grover,OLSMA5326G,3645380442,upadmanabhan@example.org,Vijayawada,1990-04-17,INS-0437,ULIP,2109202,18011
Oni Bakshi,ZXABY2562Q,2923106724,kramanathan@example.com,Ambattur,1968-12-28,INS-0439,ULIP,2127170,11746
Kala Solanki,APNUS1075O,7485953259,zaidsuresh@example.net,Surat,1974-06-05,INS-0441,ENDOWMENT,8705682,178287
Raghav Dara,ZGSPY4038Y,0443240061,jraja@example.org,Satara,1965-05-17,INS-0443,ENDOWMENT,8302377,74048
Tamanna Majumdar,KLIUB3974H,5875256806,bakhshi45@example.net,Sasaram,1963-02-03,INS-0444,TERM,3035551,187575
Watika Bhatt,HKTPF1221W,5516517680,gauravjohal@example.com,Bhiwandi,1994-03-13,INS-0445,ULIP,9787898,20986
Vamakshi Ghosh,DLSJR0113R,9712316600,agill@example.net,Rajkot,2002-11-06,INS-0450,TERM,1960078,106737
Aachal Gala,UUZXJ3571Z,3956137230,ekbalmohan@example.org,Avadi,1996-12-11,INS-0453,ENDOWMENT,8646760,154952
Yashawini Saxena,RSKYZ1827I,4918727420,rchoudhary@example.org,Davanagere,1981-11-06,INS-0456,HEALTH,5584418,86513
Advay Prabhu,HQRLH0801A,2537337773,dhingrajoshua@example.net,Jabalpur,1981-08-26,INS-0459,ENDOWMENT,2775826,142438
Kala Mall,TIMUT6475E,6989992751,krishnamurthyamrita@example.com,Hindupur,1983-03-25,INS-0461,ULIP,5096579,101561
Veer Rout,OFNDK4281P,4876230391,jeetshere@example.net,Mangalore,1967-05-10,INS-0469,ENDOWMENT,1571008,93154
Onveer Magar,DZIKD8088E,2395947372,bhavsarkrishna@example.org,Tumkur,1980-11-28,INS-0470,HEALTH,3660157,44303
Yoshita Bansal,JYVQT8981C,2231964630,robertsahota@example.net,Erode,1995-10-24,INS-0474,ULIP,5428878,30586
Aadi Bhatti,YEODK2047R,1175957498,zinalmallick@example.net,Kamarhati,1996-06-28,INS-0475,HEALTH,4246820,85500
Yashodhara Mital,TZQGJ7609J,3372188566,finn32@example.net,Amritsar,1994-09-25,INS-0476,HEALTH,5433359,126572
Bhavani Devi,KPXSG1794G,9340652775,zsahota@example.org,Khammam,1969-11-24,INS-0479,ULIP,2804606,57506
Charan Taneja,SXHPY9388J,2830615370,brindakurian@example.com,Purnia,1969-08-12,INS-0484,ULIP,800582,182405
Andrew Chadha,KHSIM1225E,0566186323,karanwarda@example.net,Munger,1974-10-24,INS-0486,TERM,6934909,136946
Edhitha Korpal,CGDTQ4864I,6245618517,balbhavani@example.com,Tiruchirappalli,1998-11-22,INS-0488,ULIP,6250102,133497
Upasna Patel,KLJYP6814F,2291073228,raghav78@example.org,Chinsurah,1969-12-02,INS-0490,TERM,6650383,191413
Hemangini Deshpande,SRPNH6969T,4970169342,kotharikevin@example.net,Ahmednagar,2004-07-21,INS-0491,TERM,2442630,114255
Avi Chatterjee,LKOVC9043U,3332470739,jeevikamistry@example.net,Jamnagar,1990-11-26,INS-0498,TERM,2199372,72080
Tanish Bahri,XIDFL3646H,0381876920,jonathankhosla@example.org,New Delhi,1984-05-08,INS-0500,TERM,2093809,17029
Aashi Lal,CBFNI5822Z,1829716815,ayushman00@example.org,Ludhiana,1964-04-25,INS-0501,HEALTH,3568039,34840
Abdul Lal,FPHMY4287T,8164321269,nikita42@example.org,Gurgaon,1993-12-02,INS-0505,ULIP,6175742,141078
Unnati Dasgupta,PLFOR8093M,3265306011,lopa17@example.net,Suryapet,1992-04-29,INS-0508,ULIP,9735783,173641
Deepa Bobal,GISOO1894Z,5092632239,khatrisiya@example.com,Naihati,1979-01-15,INS-0510,ENDOWMENT,7417892,14393
Rishi Oommen,VHIAC4378N,5910157090,mannbhavika@example.net,Pune,1992-01-30,INS-0513,TERM,6227022,98097
Osha Prashad,VURRW4899D,8428596932,ansh84@example.net,Akola,1999-10-26,INS-0514,TERM,1268029,48032
Gaurav Deo,WZGDI5523F,0321192061,kevin77@example.net,Gandhinagar,1965-12-20,INS-0520,ULIP,5090177,109299
Neha Dani,FPZHX7706Z,0506821223,ramaswamyjasmit@example.org,Panvel,2004-02-23,INS-0523,ENDOWMENT,7504117,181748
Atharv Seth,EUOQD4619F,6829968722,wakeetabarad@example.net,Loni,1960-08-30,INS-0526,HEALTH,2956660,21261
Wazir Pillay,WYYUN0405V,9001248255,lsharma@example.com,Kolhapur,1976-03-02,INS-0527,TERM,6517692,123644
Mahika Pingle,QYJUB5078N,7443034918,ksule@example.org,Nagaon,1997-04-15,INS-0529,ULIP,6669672,159241
Gabriel Patla,USDGU3641U,1325936781,chakradev09@example.com,Moradabad,1973-02-08,INS-0530,TERM,3636946,50559
Brinda Sachdev,GVTKX2025S,1832812312,modygeorge@example.org,Bangalore,1999-08-06,INS-0534,ULIP,3584811,141473
